row_id,title,url,area,block,scope,property_type,size_marla,beds,baths,asking_price,comp_count,comp_low,comp_typical,comp_high,position,deviation,confidence,predicted_price,image
15380,"Double Unit Victorian Design House For Sale At Prime Location Near to Park, Masjid and Commercial",https://www.zameen.com/Property/dha_defence_dha_9_town_double_unit_victorian_design_house_for_sale_at_prime_location_near_to_park_masjid_and_commercial-53252073-1452-1.html,DHA 9 Town,,area,House,8.0,4.0,5.0,35000000.0,68,33425000.0,44500000.0,54000000.0,within,0.0,high,37157120.0,https://media.zameen.com/thumbnails/301416783-400x300.jpeg
15381,"10 Marla House For Sale With 15 KW Solar In DHA Phase 5 Close To KFC Park, Market",https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_house_for_sale_with_15_kw_solar_in_dha_phase_5_close_to_kfc_park_market-52193495-1447-1.html,DHA Phase 5,,area,House,10.0,4.0,5.0,56000000.0,151,53250000.0,59900000.0,70000000.0,within,0.0,high,55250860.0,https://media.zameen.com/thumbnails/301417493-400x300.jpeg
15382,10-Marla Luxury Bungalow For Sale At Hot Location Near Wateen Chowk,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_d_10-marla_luxury_bungalow_for_sale_at_hot_location_near_wateen_chowk-52702772-1601-1.html,DHA Phase 5,Block D,area,House,10.0,4.0,5.0,54000000.0,151,53250000.0,59900000.0,70000000.0,within,0.0,high,55495572.0,https://media.zameen.com/thumbnails/304396942-400x300.jpeg
15383,5 Marla House In Beautiful Location Of Sabzazar Scheme,https://www.zameen.com/Property/lahore_sabzazar_scheme_5_marla_house_in_beautiful_location_of_sabzazar_scheme-53092022-562-1.html,Sabzazar Scheme,,area,House,5.0,4.0,4.0,24000000.0,60,21275000.0,25000000.0,29500000.0,within,0.0,high,23783640.0,https://media.zameen.com/thumbnails/305794735-400x300.jpeg
15384,10 Marla House For Sale In Ghaznavi Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_f_bahria_town_-_ghaznavi_block_10_marla_house_for_sale_in_ghaznavi_block_bahria_town_lahore-54639191-8261-1.html,Bahria Town,Ghaznavi Block,block,House,10.0,5.0,7.0,45000000.0,23,38950000.0,45000000.0,56000000.0,within,0.0,high,37851912.0,https://media.zameen.com/thumbnails/306262151-400x300.jpeg
15385,Well-Constructed House Available For Sale In Sabzazar Scheme - Block F,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_-_block_f_well-constructed_house_available_for_sale_in_sabzazar_scheme_-_block_f-54307316-4169-1.html,Sabzazar Scheme,Block F,area,House,10.0,4.0,5.0,37000000.0,27,35430000.0,40000000.0,47500000.0,within,0.0,high,38262688.0,https://media.zameen.com/thumbnails/304223201-400x300.jpeg
15386,Brand New 6 Marla Fully Constructed House For Sale | 5 Bedrooms | 7 Bathrooms | Ready To Move,https://www.zameen.com/Property/lahore_allama_iqbal_town_brand_new_6_marla_fully_constructed_house_for_sale_5_bedrooms_7_bathrooms_ready_to_move-54548358-58-1.html,Allama Iqbal Town,,area,House,6.0,5.0,7.0,52500000.0,31,25000000.0,30000000.0,39500000.0,above,0.3291,high,46289024.0,https://media.zameen.com/thumbnails/305397667-400x300.jpeg
15387,M Block 3 Marla Double Story Use House Hot Location House For Sale Al Rehman Garden Phase 2,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_m_block_3_marla_double_story_use_house_hot_location_house_for_sale_al_rehman_garden_phase_2-54639150-4506-1.html,Al Rehman Garden Phase 2,,area,House,3.0,3.0,4.0,13000000.0,18,12500000.0,13250000.0,14390000.0,within,0.0,low,13275743.0,https://media.zameen.com/thumbnails/306262220-400x300.jpeg
15388,10 Marla House With Basement For Sale In Quaid Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_quaid_block_10_marla_house_with_basement_for_sale_in_quaid_block_bahria_town_lahore-54639129-1808-1.html,Bahria Town,Quaid Block,block,House,10.0,5.0,7.0,42500000.0,24,33450000.0,45000000.0,59500000.0,within,0.0,high,41416436.0,https://media.zameen.com/thumbnails/306261564-400x300.jpeg
15389,5.5 Marla Owner Made Ur Dream House Solid construction Solid wood work House available for Sale in DHA Rahbar Sector 2 Lahore,https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_sector_2_5_5_marla_owner_made_ur_dream_house_solid_construction_solid_wood_work_house_available_for_sale_in_dha_rahbar_sector_2_lahore-54464899-3717-1.html,DHA 11 Rahbar Sector 2,,area,House,5.0,3.0,4.0,31000000.0,130,23000000.0,26500000.0,31000000.0,within,0.0,high,26962220.0,https://media.zameen.com/thumbnails/304583081-400x300.jpeg
15390,10 Marla House For Sale In Jasmine Block Bahria Town Lahore,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_10_marla_house_for_sale_in_jasmine_block_bahria_town_lahore-54639111-1786-1.html,Bahria Town,Jasmine Block,block,House,10.0,5.0,7.0,37000000.0,49,33000000.0,37000000.0,45000000.0,within,0.0,high,39510268.0,https://media.zameen.com/thumbnails/306261290-400x300.jpeg
15392,1 Kanal Beautiful Double-Unit Bungalow For Sale In Eden City.,https://www.zameen.com/Property/eden_eden_city_1_kanal_beautiful_double-unit_bungalow_for_sale_in_eden_city-54639046-409-1.html,Eden City,,area,House,20.0,5.0,5.0,66000000.0,19,61750000.0,69500000.0,78250000.0,within,0.0,low,65541852.0,https://media.zameen.com/thumbnails/306260600-400x300.jpeg
15393,9 Marla Brand New House For Sale,https://www.zameen.com/Property/lahore_tip_housing_society_9_marla_brand_new_house_for_sale-54428212-1560-1.html,TIP Housing Society,,area,House,9.0,5.0,5.0,35000000.0,15,30200000.0,32500000.0,35850000.0,within,0.0,low,34555328.0,https://media.zameen.com/thumbnails/304225245-400x300.jpeg
15394,6.25 Marla House For Sale,https://www.zameen.com/Property/khayaban_e_amin_khayaban-e-amin_-_block_a_6_25_marla_house_for_sale-54428334-8200-1.html,Khayaban-e-Amin,Block A,area,House,6.2,3.0,3.0,20000000.0,61,12800000.0,18000000.0,20500000.0,within,0.0,high,20583376.0,https://media.zameen.com/thumbnails/304226118-400x300.jpeg
15395,5 Marla Brand New House For Sale,https://www.zameen.com/Property/lahore_dha_11_rahbar_5_marla_brand_new_house_for_sale-54588700-1410-1.html,DHA 11 Rahbar,,area,House,5.0,3.0,3.0,27000000.0,50,22140000.0,26500000.0,29325000.0,within,0.0,high,26233708.0,https://media.zameen.com/thumbnails/305784151-400x300.jpeg
15396,10 Marla House For Sale In B Block Jubilee Town Lahore | 6 Bedroom Double Unit House | Majid Estate,https://www.zameen.com/Property/jubilee_town_jubilee_town_-_block_b_10_marla_house_for_sale_in_b_block_jubilee_town_lahore_6_bedroom_double_unit_house_majid_estate-54457750-3986-1.html,Jubilee Town,Block B,block,House,10.0,6.0,7.0,41500000.0,21,37500000.0,42000000.0,43500000.0,within,0.0,high,39441300.0,https://media.zameen.com/thumbnails/304513684-400x300.jpeg
15397,4.25 Marla House For Sale In Jubilee Town Lahore | 4 Bedroom Double Unit House | Majid Estate,https://www.zameen.com/Property/jubilee_town_jubilee_town_-_block_e_4_25_marla_house_for_sale_in_jubilee_town_lahore_4_bedroom_double_unit_house_majid_estate-54424668-3989-1.html,Jubilee Town,Block E,block,House,4.0,4.0,4.0,18500000.0,16,21850000.0,24900000.0,28875000.0,below,0.1533,low,18956980.0,https://media.zameen.com/thumbnails/304195506-400x300.jpeg
